gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
ESPORTSTMNT03/1310493,GLL,2020,1/20/2020 19:10,1,0,Red,Greek Regenesis eSports,2008,1,31,17,66240,54986,LUL Esports
ESPORTSTMNT03/1310505,GLL,2020,1/20/2020 19:57,1,0,Blue,Laughing Coffins,1699,0,15,30,46430,58174,WLGaming Esports
ESPORTSTMNT03/1310505,GLL,2020,1/20/2020 19:57,1,0,Red,WLGaming Esports,1699,1,30,15,58174,46430,Laughing Coffins
ESPORTSTMNT01/1270334,BL,2020,1/20/2020 20:10,1,0,Blue,Sector One,1611,1,22,8,53100,40094,Aethra Esports
ESPORTSTMNT01/1270334,BL,2020,1/20/2020 20:10,1,0,Red,Aethra Esports,1611,0,8,22,40094,53100,Sector One
ESPORTSTMNT03/1300465,LHE,2020,1/20/2020 20:53,1,0,Blue,Valorous,2041,1,16,7,65151,52077,Dark Horse
ESPORTSTMNT03/1300465,LHE,2020,1/20/2020 20:53,1,0,Red,Dark Horse,2041,0,7,16,52077,65151,Valorous
ESPORTSTMNT03/1310541,LHE,2020,1/20/2020 22:29,1,0,Blue,Humanoids5,1976,0,12,19,53430,62504,FroztFire Team
ESPORTSTMNT03/1310541,LHE,2020,1/20/2020 22:29,1,0,Red,FroztFire Team,1976,1,19,12,62504,53430,Humanoids5
ESPORTSTMNT03/1300496,LHE,2020,1/20/2020 23:32,1,0,Blue,Furious Gaming Chile,2022,0,5,16,52283,60961,Kaos Latin Gamers
ESPORTSTMNT03/1300496,LHE,2020,1/20/2020 23:32,1,0,Red,Kaos Latin Gamers,2022,1,16,5,60961,52283,Furious Gaming Chile
ESPORTSTMNT03/1300504,LHE,2020,1/21/2020 0:36,1,0,Blue,Azules Esports Academy,1826,0,3,20,43726,59557,Rebirth eSports
ESPORTSTMNT03/1300504,LHE,2020,1/21/2020 0:36,1,0,Red,Rebirth eSports,1826,1,20,3,59557,43726,Azules Esports Academy
ESPORTSTMNT03/1300519,LHE,2020,1/21/2020 1:40,1,0,Blue,ACE 1,1764,0,8,23,42607,58780,Universidad Católica Esports
ESPORTSTMNT03/1300519,LHE,2020,1/21/2020 1:40,1,0,Red,Universidad Católica Esports,1764,1,23,8,58780,42607,ACE 1
ESPORTSTMNT01/1280429,DL,2020,1/21/2020 16:04,1,0,Blue,mCon esports Rotterdam,1656,1,21,9,50750,41476,Team Echo Zulu
ESPORTSTMNT01/1280429,DL,2020,1/21/2020 16:04,1,0,Red,Team Echo Zulu,1656,0,9,21,41476,50750,mCon esports Rotterdam
ESPORTSTMNT03/1300603,GLL,2020,1/21/2020 16:19,1,0,Blue,WLGaming Esports,1969,0,16,33,54273,65565,Pyrsos Esports
ESPORTSTMNT03/1300603,GLL,2020,1/21/2020 16:19,1,0,Red,Pyrsos Esports,1969,1,33,16,65565,54273,WLGaming Esports
ESPORTSTMNT01/1280441,PRM,2020,1/21/2020 16:29,1,0,Blue,ad hoc gaming,2136,0,7,13,60283,62266,FC Schalke 04 Evolution
ESPORTSTMNT01/1280441,PRM,2020,1/21/2020 16:29,1,0,Red,FC Schalke 04 Evolution,2136,1,13,7,62266,60283,ad hoc gaming
ESPORTSTMNT03/1300617,GLL,2020,1/21/2020 17:40,1,0,Blue,Greek Regenesis eSports,1373,1,27,9,48097,36633,Team Refuse
ESPORTSTMNT03/1300617,GLL,2020,1/21/2020 17:40,1,0,Red,Team Refuse,1373,0,9,27,36633,48097,Greek Regenesis eSports
ESPORTSTMNT01/1280479,PRM,2020,1/21/2020 17:51,1,0,Blue,Unicorns Of Love Sexy Edition,1782,0,13,20,49911,55434,OP innogy eSport
ESPORTSTMNT01/1280479,PRM,2020,1/21/2020 17:51,1,0,Red,OP innogy eSport,1782,1,20,13,55434,49911,Unicorns Of Love Sexy Edition
ESPORTSTMNT01/1270496,DL,2020,1/21/2020 18:00,1,0,Blue,PSV Esports,1941,1,17,8,61456,49997,Team THRLL
